lane_id,pickup_city,pickup_state,delivery_city,delivery_state
28a31c0bdca92fa6357031e3a51bf992,WESTFIELD,MA,FRANKLIN PARK,IL
69b412cac21962cffff5f63c8c2c2b16,GRANITE CITY,IL,HIBBING,MN
7545bbd8afb73574fa3d3caf94745cf4,CARTERSVILLE,GA,LA PORTE,TX
cd272c563fb8f255434de19979f36d27,GRANITE CITY,IL,EL DORADO,KS
1ec1410a2272e9ce2f69d80b828620c2,GRANITE CITY,IL,DODGE CITY,KS
f1c160041950f1bda53c4e93647ffff5,LAREDO,TX,CHAPEL HILL,TN
8a5bbe9a6b9aef5531ace4a934421543,AURORA,CO,ELKO,NV
b5d5812058789db9e614c14e8c6df1b7,ROCHESTER,NY,NEWARK,NJ
8d9fed213024b366c581264e3732cd99,NEWARK,NJ,WILLIAMSBURG,VA
eadcff8d5b69a39a12fa2f218d7d4a15,COLUMBUS,OH,PEVELY,MO
80ce553d7903da2e4b195d5a8920e075,MORRIS,IL,DENISON,TX
4d40c24c0e2f9a35e12a1a891e6fb2b4,JACKSONVILLE,FL,SUMTER,SC
132157b88af77193c0f87f9eba1167c9,IDAHO FALLS,ID,AUBURN,WA
a25baea0bf292d77b67423d4c1f6eed2,CARTERSVILLE,GA,VICKSBURG,MS
241c29f5e4ae57c07627e590873d1f2a,FORT COLLINS,CO,SAN ANTONIO,TX
ca4687f74b1b4c8851a79e092ecf4843,PORTLAND,OR,SPOKANE VALLEY,WA
cc42cd8f5e99d1ab9425de23f37d4c74,NEWARK,NJ,GREEN BAY,WI
cb324cad087231af96cc9c0eaa621dc0,GRANITE CITY,IL,MANSFIELD,OH
8ec917875fba672327a9e36240643d53,MCCOOK,NE,CHICAGO,IL
88ead006c5c994df88eb025a6b6ed006,PITTSBURGH,PA,GREENFIELD,IN
c402176f02179736fde5ef585d7b2c24,AURORA,CO,GRAND ISLAND,NE
6b2adbd7f4ec2bddaefe55b21ce29005,JACKSONVILLE,FL,OPELIKA,AL
e942203c327ba05c9ce940124925cfa1,HALLS,TN,DALLAS,TX
bc076d80692d87e439eb3c1c72c1bbbe,OXNARD,CA,TOLLESON,AZ
e4bddfa9dd9ccf2e9549f0905d0995f6,DALLAS,TX,DAVENPORT,IA
3a9c0f8998f7d6fa0f2d2b49d2a8c18e,FAIRFIELD,CA,MEDFORD,OR
39b5badfc8453b820bb6087ac8d44240,TRACY,CA,WADDELL,AZ
5401777a4eaef1992667194db9434f2d,TUSCALOOSA,AL,XENIA,OH
3fbed6d9f51ad799c42bce4800f447ad,CARTERSVILLE,GA,GAINESVILLE,FL
b2187c804f0689d0fa0171055d0a97a8,AURORA,CO,FREMONT,NE
066b1056821cfd33f32ee02583d67f98,COLONIAL HEIGHTS,VA,CLARKSBURG,WV
07ffe686c5eb1102ef2b40841ff3958a,GRANITE CITY,IL,TULSA,OK
5d4bf20b9b338dcb752f2d17e556a9db,CARTERSVILLE,GA,RICHLAND,MS
4dc81ea57e8b3cdd5fa31ec1a811bd31,JACKSONVILLE,FL,WEST PALM BEACH,FL
ebb9ee20ab1ad7d4b8fb17f7378a27b0,WILLIAMSBURG,VA,SPARTANBURG,SC
2d110e13371ad2db6975b5e67db07905,BREINIGSVILLE,PA,UPPER MARLBORO,MD
e3554d20179e20930715b0009d3f9b29,WILLIAMSBURG,VA,BEAVER,WV
e3a093aee3b95b7e4c2c8c21d17a1d8e,JACKSONVILLE,FL,SPARTANBURG,SC
08ffd6786cd766dbc989251988eea103,PITTSTON,PA,NEWINGTON,CT
88986c6d881dffa15ee0a420c70f8a58,TUSCALOOSA,AL,BORDEN,IN
f921bcfc424a3f1cd136e12f495d37fb,WAPAKONETA,OH,CANTON,OH
1ab670743ed858ada95f1c26dbc72813,NEWARK,NJ,GRAND RAPIDS,MI
6e13e6f2e6e3203b9c7bcbd28dcb6b65,NEWARK,NJ,LINCOLNWOOD,IL
6ee654517ee173b325af1e11941cd21f,WILLIAMSBURG,VA,SUN PRAIRIE,WI
9814499909e9276be009bd0164cf2514,LAREDO,TX,WACO,TX
6ac161f1857e3194bb97b98eb9ca722a,CARTERSVILLE,GA,LUMBERTON,NC
c265da7a17625dc2524ddc572558b254,GRANITE CITY,IL,DECATUR,AL
c63ec074b61c17a3049edbecaeaa58e1,LEWISTOWN,PA,BALDWINSVILLE,NY
70f001aafacf3d7cf66917673494d499,GREENVILLE,SC,EVANS CITY,PA
